ComputerID,CircuitWidth,CircuitDepth,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitNumCXGates,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75,StateHammingWeight,StateUpProb25,StateUpProb50,StateUpProb75,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateRealProb
1,2,6,0,1,5,2,2,2,3,1,25,25,26,0,0,1,28
1,2,6,0,1,5,2,2,2,3,1,15,16,16,1,1,2,21
1,2,6,0,1,5,2,2,2,3,2,23,24,24,0,0,0,21
1,3,4,2,0,0,2,3,4,4,0,94,95,95,-4,-4,-3,100
1,3,4,2,0,0,2,3,4,4,1,1,1,1,0,1,1,0
1,3,4,2,0,0,2,3,4,4,1,1,1,2,1,1,1,0
1,3,4,2,0,0,2,3,4,4,1,0,1,1,0,0,1,0
4,4,5,2,1,1,2,6,7,9,0,46,47,47,-9,-7,-6,49
4,4,5,2,1,1,2,6,7,9,1,0,0,1,1,1,1,0
4,4,5,2,1,1,2,6,7,9,1,0,0,0,0,0,1,0
4,4,5,2,1,1,2,6,7,9,1,43,44,45,0,0,0,49
4,4,5,2,1,1,2,6,7,9,2,0,0,1,0,0,0,0
4,4,5,2,1,1,2,6,7,9,2,0,1,1,0,0,0,0
4,4,5,2,1,1,2,6,7,9,1,1,2,2,3,3,4,0
4,4,5,2,1,1,2,6,7,9,2,1,1,2,0,0,0,0
4,4,8,4,1,0,7,7,8,9,0,41,42,43,-9,-8,-7,50
4,4,8,4,1,0,7,7,8,9,1,1,2,2,1,1,1,0
4,4,8,4,1,0,7,7,8,9,1,42,42,43,0,0,1,49
4,4,8,4,1,0,7,7,8,9,2,1,2,2,0,0,0,0
4,4,8,4,1,0,7,7,8,9,1,0,0,1,0,1,1,0
4,4,8,4,1,0,7,7,8,9,1,3,3,4,3,4,5,0
4,4,8,4,1,0,7,7,8,9,2,3,3,3,0,0,0,0
1,5,6,4,0,2,4,10,11,11,0,75,76,77,-11,-11,-10,100
1,5,6,4,0,2,4,10,11,11,1,1,2,2,1,1,1,0
1,5,6,4,0,2,4,10,11,11,1,1,1,1,1,1,2,0
1,5,6,4,0,2,4,10,11,11,1,0,0,1,0,0,1,0
1,5,6,4,0,2,4,10,11,11,1,11,11,11,2,2,2,0
1,5,6,4,0,2,4,10,11,11,1,3,4,4,2,3,3,0
1,5,6,4,0,2,4,10,11,11,2,1,1,1,0,0,0,0
